time(s),x(m),y(m),z(m),vx(m/s),vy(m/s),vz(m/s),q0,q1,q2,q3,roll(rad),pitch(rad),yaw(rad)
1.7200,0.0000,0.0000,111.4339,0.0000,0.0000,66.7773,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.7300,0.0000,0.0000,112.1000,0.0000,0.0000,66.5327,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.7400,0.0000,0.0000,112.7637,0.0000,0.0000,66.2892,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.7500,0.0000,0.0000,113.4250,0.0000,0.0000,66.0468,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.7600,0.0000,0.0000,114.0838,0.0000,0.0000,65.8054,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.7700,0.0000,0.0000,114.7403,0.0000,0.0000,65.5651,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.7800,0.0000,0.0000,115.3943,0.0000,0.0000,65.3258,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.7900,0.0000,0.0000,116.0460,0.0000,0.0000,65.0876,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.8000,0.0000,0.0000,116.6953,0.0000,0.0000,64.8504,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.8100,0.0000,0.0000,117.3422,0.0000,0.0000,64.6142,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.8200,0.0000,0.0000,117.9868,0.0000,0.0000,64.3791,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.8300,0.0000,0.0000,118.6290,0.0000,0.0000,64.1449,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.8400,0.0000,0.0000,119.2689,0.0000,0.0000,63.9118,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.8500,0.0000,0.0000,119.9065,0.0000,0.0000,63.6796,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.8600,0.0000,0.0000,120.5418,0.0000,0.0000,63.4484,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.8700,0.0000,0.0000,121.1747,0.0000,0.0000,63.2182,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
